,2018,2018,2015,2015,2012,2012,2009,2009,2006,2006,2003,2003,2018,2015,2012,2009,2006,2003
,M,F,M,F,M,F,M,F,M,F,M,F,av,av,av,av,av,av
Albania,435.0,440.0,409.0,418.0,394.0,395.0,372.0,383.0,,,,,437.0,413.0,394.0,377.0,,
Algeria,,,356.0,363.0,,,,,,,,,,360.0,,,,
Argentina,387.0,372.0,418.0,400.0,396.0,382.0,394.0,383.0,388.0,375.0,,,379.0,409.0,388.0,388.0,381.0,
Australia,494.0,488.0,497.0,491.0,510.0,498.0,519.0,509.0,527.0,513.0,527.0,522.0,491.0,494.0,504.0,514.0,520.0,524.0
Austria,505.0,492.0,510.0,483.0,517.0,494.0,506.0,486.0,517.0,494.0,509.0,502.0,499.0,497.0,506.0,496.0,505.0,506.0
China,597.0,586.0,534.0,528.0,,,,,,,,,591.0,531.0,,,,
Azerbaijan,423.0,416.0,,,,,,,,,,,420.0,,,,,
Belarus,475.0,469.0,,,,,,,,,,,472.0,,,,,
Belgium,514.0,502.0,514.0,500.0,520.0,509.0,526.0,504.0,524.0,517.0,533.0,525.0,508.0,507.0,515.0,515.0,520.0,529.0
Bosnia and Herzegovina,408.0,405.0,,,,,,,,,,,406.0,,,,,
Brazil,388.0,379.0,385.0,370.0,397.0,380.0,394.0,379.0,380.0,361.0,365.0,348.0,384.0,377.0,389.0,386.0,370.0,356.0
Brunei Darussalam,426.0,434.0,,,,,,,,,,,430.0,,,,,
Bulgaria,435.0,437.0,440.0,442.0,438.0,440.0,426.0,430.0,412.0,415.0,,,436.0,441.0,439.0,428.0,413.0,
Canada,514.0,510.0,520.0,511.0,523.0,513.0,533.0,521.0,534.0,520.0,541.0,530.0,512.0,516.0,518.0,527.0,527.0,532.0
Chile,421.0,414.0,432.0,413.0,436.0,411.0,431.0,410.0,424.0,396.0,,,417.0,423.0,423.0,421.0,411.0,
Chinese Taipei,533.0,529.0,545.0,539.0,563.0,557.0,546.0,541.0,556.0,543.0,,,531.0,542.0,560.0,543.0,549.0,
Colombia,401.0,381.0,395.0,384.0,390.0,364.0,398.0,366.0,382.0,360.0,,,391.0,390.0,376.0,381.0,370.0,
Costa Rica,411.0,394.0,408.0,392.0,420.0,396.0,,,,,,,402.0,400.0,407.0,,,
Croatia,469.0,460.0,471.0,458.0,477.0,465.0,465.0,454.0,474.0,461.0,,,464.0,464.0,471.0,460.0,467.0,
Cyprus,447.0,455.0,435.0,440.0,440.0,440.0,,,,,,,451.0,437.0,440.0,,,
Czech Republic,501.0,498.0,496.0,489.0,505.0,493.0,495.0,490.0,514.0,504.0,524.0,509.0,499.0,492.0,499.0,493.0,510.0,516.0
Denmark,511.0,507.0,516.0,506.0,507.0,493.0,511.0,495.0,518.0,508.0,523.0,506.0,509.0,511.0,500.0,503.0,513.0,514.0
Dominican Republic,324.0,327.0,326.0,330.0,,,,,,,,,325.0,328.0,,,,
Estonia,528.0,519.0,522.0,517.0,523.0,518.0,516.0,508.0,515.0,514.0,,,523.0,520.0,521.0,512.0,515.0,
Finland,504.0,510.0,507.0,515.0,517.0,520.0,542.0,539.0,554.0,543.0,548.0,541.0,507.0,511.0,519.0,541.0,548.0,544.0
France,499.0,492.0,496.0,490.0,499.0,491.0,505.0,489.0,499.0,492.0,515.0,507.0,495.0,493.0,495.0,497.0,496.0,511.0
Georgia,396.0,400.0,398.0,411.0,,,,,,,,,398.0,404.0,,,,
Germany,503.0,496.0,514.0,498.0,520.0,507.0,520.0,505.0,513.0,494.0,508.0,499.0,500.0,506.0,514.0,513.0,504.0,503.0
Greece,452.0,451.0,454.0,454.0,457.0,449.0,473.0,459.0,462.0,457.0,455.0,436.0,451.0,454.0,453.0,466.0,459.0,445.0
Hong Kong (China),548.0,554.0,549.0,547.0,568.0,553.0,561.0,547.0,555.0,540.0,552.0,548.0,551.0,548.0,561.0,555.0,547.0,550.0
Hungary,486.0,477.0,481.0,473.0,482.0,473.0,496.0,484.0,496.0,486.0,494.0,486.0,481.0,477.0,477.0,490.0,491.0,490.0
Iceland,490.0,500.0,487.0,489.0,490.0,496.0,508.0,505.0,503.0,508.0,508.0,523.0,495.0,488.0,493.0,507.0,506.0,515.0
Indonesia,374.0,383.0,385.0,387.0,377.0,373.0,371.0,372.0,399.0,382.0,362.0,358.0,379.0,386.0,375.0,371.0,391.0,360.0
Ireland,503.0,497.0,512.0,495.0,509.0,494.0,491.0,483.0,507.0,496.0,510.0,495.0,500.0,504.0,501.0,487.0,501.0,503.0
Israel,458.0,467.0,474.0,466.0,472.0,461.0,451.0,443.0,448.0,436.0,,,463.0,470.0,466.0,447.0,442.0,
Italy,494.0,479.0,500.0,480.0,494.0,476.0,490.0,475.0,470.0,453.0,475.0,457.0,487.0,490.0,485.0,483.0,462.0,466.0
Japan,532.0,522.0,539.0,525.0,545.0,527.0,534.0,524.0,533.0,513.0,539.0,530.0,527.0,532.0,536.0,529.0,523.0,534.0
Jordan,397.0,403.0,373.0,387.0,375.0,396.0,386.0,387.0,381.0,388.0,,,400.0,380.0,386.0,387.0,384.0,
Kazakhstan,424.0,422.0,459.0,461.0,432.0,432.0,405.0,405.0,,,,,423.0,460.0,432.0,405.0,,
Korea,528.0,524.0,521.0,528.0,562.0,544.0,548.0,544.0,552.0,543.0,552.0,528.0,526.0,524.0,554.0,546.0,547.0,542.0
Kosovo,368.0,364.0,366.0,357.0,,,,,,,,,366.0,362.0,,,,
Latvia,500.0,493.0,481.0,483.0,489.0,493.0,483.0,481.0,489.0,484.0,485.0,482.0,496.0,482.0,491.0,482.0,486.0,483.0
Lebanon,394.0,393.0,408.0,386.0,,,,,,,,,393.0,396.0,,,,
Lithuania,480.0,482.0,478.0,479.0,479.0,479.0,474.0,480.0,487.0,485.0,,,481.0,478.0,479.0,477.0,486.0,
Luxembourg,487.0,480.0,491.0,480.0,502.0,477.0,499.0,479.0,498.0,482.0,502.0,485.0,483.0,486.0,490.0,489.0,490.0,493.0
Macao (China),560.0,556.0,540.0,548.0,540.0,537.0,531.0,520.0,530.0,520.0,538.0,517.0,558.0,544.0,538.0,525.0,525.0,527.0
Malaysia,437.0,443.0,443.0,449.0,416.0,424.0,,,,,,,440.0,446.0,421.0,,,
Malta,466.0,478.0,477.0,481.0,,,,,,,,,472.0,479.0,,,,
Mexico,415.0,403.0,412.0,404.0,420.0,406.0,425.0,412.0,410.0,401.0,391.0,380.0,409.0,408.0,413.0,419.0,406.0,385.0
Moldova,420.0,422.0,419.0,421.0,,,,,,,,,421.0,420.0,,,,
Montenegro,434.0,425.0,418.0,418.0,410.0,410.0,408.0,396.0,405.0,393.0,,,430.0,418.0,410.0,403.0,399.0,
Morocco,368.0,367.0,,,,,,,,,,,368.0,,,,,
Netherlands,520.0,519.0,513.0,511.0,528.0,518.0,534.0,517.0,537.0,524.0,540.0,535.0,519.0,512.0,523.0,526.0,531.0,538.0
New Zealand,499.0,490.0,499.0,491.0,507.0,492.0,523.0,515.0,527.0,517.0,531.0,516.0,494.0,495.0,500.0,519.0,522.0,523.0
North Macedonia,391.0,398.0,368.0,375.0,,,,,,,,,394.0,371.0,,,,
Norway,497.0,505.0,501.0,503.0,490.0,488.0,500.0,495.0,493.0,487.0,498.0,492.0,501.0,502.0,489.0,498.0,490.0,495.0
Panama,357.0,349.0,,,,,,,,,,,353.0,,,,,
Peru,408.0,392.0,391.0,382.0,378.0,359.0,374.0,356.0,,,,,400.0,387.0,368.0,365.0,,
Philippines,346.0,358.0,,,,,,,,,,,353.0,,,,,
Poland,516.0,515.0,510.0,499.0,520.0,516.0,497.0,493.0,500.0,491.0,493.0,487.0,516.0,504.0,518.0,495.0,495.0,490.0
Portugal,497.0,488.0,497.0,487.0,493.0,481.0,493.0,481.0,474.0,459.0,472.0,460.0,492.0,492.0,487.0,487.0,466.0,466.0
