,2018,2018,2015,2015,2012,2012,2009,2009,2006,2006,2003,2003,2000,2000,2018,2015,2012,2009,2006,2003,2000
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,av,av,av,av,av,av,av
Albania,387.0,425.0,376.0,435.0,387.0,401.0,355.0,417.0,,,,,319.0,378.0,405.0,405.0,394.0,385.0,,,349.0
Algeria,,,335.0,366.0,,,,,,,,,,,,350.0,,,,,
Argentina,393.0,409.0,417.0,433.0,377.0,414.0,379.0,415.0,345.0,399.0,,,393.0,437.0,402.0,425.0,396.0,398.0,374.0,,418.0
Australia,487.0,519.0,487.0,519.0,495.0,530.0,496.0,533.0,495.0,532.0,506.0,545.0,513.0,546.0,503.0,503.0,512.0,515.0,513.0,525.0,528.0
Austria,471.0,499.0,475.0,495.0,471.0,508.0,449.0,490.0,468.0,513.0,467.0,514.0,476.0,509.0,484.0,485.0,490.0,470.0,490.0,491.0,492.0
China,549.0,562.0,486.0,503.0,,,,,,,,,,,555.0,494.0,,,,,
Azerbaijan,377.0,403.0,,,,,,,,,,,,,389.0,,,,,,
Belarus,463.0,486.0,,,,,,,,,,,,,474.0,,,,,,
Belgium,482.0,504.0,491.0,507.0,493.0,525.0,493.0,520.0,482.0,522.0,489.0,526.0,492.0,525.0,493.0,499.0,509.0,506.0,501.0,507.0,507.0
Bosnia and Herzegovina,389.0,418.0,,,,,,,,,,,,,403.0,,,,,,
Brazil,400.0,426.0,395.0,419.0,390.0,422.0,397.0,425.0,376.0,408.0,384.0,419.0,388.0,404.0,413.0,407.0,407.0,412.0,393.0,403.0,396.0
Brunei Darussalam,393.0,423.0,,,,,,,,,,,,,408.0,,,,,,
Bulgaria,401.0,441.0,409.0,457.0,403.0,472.0,400.0,461.0,374.0,432.0,,,407.0,455.0,420.0,432.0,436.0,429.0,402.0,,430.0
Canada,506.0,535.0,514.0,540.0,506.0,541.0,507.0,542.0,511.0,543.0,514.0,546.0,519.0,551.0,520.0,527.0,523.0,524.0,527.0,528.0,534.0
Chile,442.0,462.0,453.0,465.0,430.0,452.0,439.0,461.0,434.0,451.0,,,396.0,421.0,452.0,459.0,441.0,449.0,442.0,,410.0
Chinese Taipei,492.0,514.0,485.0,510.0,507.0,539.0,477.0,514.0,486.0,507.0,,,,,503.0,497.0,523.0,495.0,496.0,,
Colombia,407.0,417.0,417.0,432.0,394.0,412.0,408.0,418.0,375.0,394.0,,,,,412.0,425.0,403.0,413.0,385.0,,
Costa Rica,419.0,434.0,420.0,435.0,427.0,452.0,,,,,,,,,426.0,427.0,441.0,,,,
Croatia,462.0,495.0,473.0,500.0,461.0,509.0,452.0,503.0,452.0,502.0,,,,,479.0,487.0,485.0,476.0,477.0,,
Cyprus,401.0,448.0,417.0,469.0,418.0,481.0,,,,,,,,,424.0,443.0,449.0,,,,
Czech Republic,474.0,507.0,475.0,501.0,474.0,513.0,456.0,504.0,463.0,509.0,473.0,504.0,473.0,510.0,490.0,487.0,493.0,478.0,483.0,489.0,492.0
Denmark,486.0,516.0,489.0,511.0,481.0,512.0,480.0,509.0,480.0,509.0,479.0,505.0,485.0,510.0,501.0,500.0,496.0,495.0,494.0,492.0,497.0
Dominican Republic,326.0,357.0,342.0,373.0,,,,,,,,,,,342.0,358.0,,,,,
Estonia,508.0,538.0,505.0,533.0,494.0,538.0,480.0,524.0,478.0,524.0,,,,,523.0,519.0,516.0,501.0,501.0,,
Finland,495.0,546.0,504.0,551.0,494.0,556.0,508.0,563.0,521.0,572.0,521.0,565.0,520.0,571.0,520.0,526.0,524.0,536.0,547.0,543.0,546.0
France,480.0,505.0,485.0,514.0,483.0,527.0,475.0,515.0,470.0,505.0,476.0,514.0,490.0,519.0,493.0,499.0,505.0,496.0,488.0,496.0,505.0
Georgia,362.0,399.0,374.0,432.0,,,,,,,,,,,380.0,401.0,,,,,
Germany,486.0,512.0,499.0,520.0,486.0,530.0,478.0,518.0,475.0,517.0,471.0,513.0,468.0,502.0,498.0,509.0,508.0,497.0,495.0,491.0,484.0
Greece,437.0,479.0,449.0,486.0,452.0,502.0,459.0,506.0,432.0,488.0,453.0,490.0,456.0,493.0,457.0,467.0,477.0,483.0,460.0,472.0,474.0
Hong Kong (China),507.0,542.0,513.0,541.0,533.0,558.0,518.0,550.0,520.0,551.0,494.0,525.0,518.0,533.0,524.0,527.0,545.0,533.0,536.0,510.0,525.0
Hungary,463.0,489.0,457.0,482.0,468.0,508.0,475.0,513.0,463.0,503.0,467.0,498.0,465.0,496.0,476.0,470.0,488.0,494.0,482.0,482.0,480.0
Iceland,454.0,494.0,460.0,502.0,457.0,508.0,478.0,522.0,460.0,509.0,464.0,522.0,488.0,528.0,474.0,482.0,483.0,500.0,484.0,492.0,507.0
Indonesia,358.0,383.0,386.0,409.0,382.0,410.0,383.0,420.0,384.0,402.0,369.0,394.0,360.0,380.0,371.0,397.0,396.0,402.0,393.0,382.0,371.0
