,2018,2018,2015,2015,2012,2012,2009,2009,2006,2006,2018,2015,2012,2009,2006
,M,F,M,F,M,F,M,F,M,F,av,av,av,av,av
Albania,409.0,425.0,415.0,439.0,394.0,401.0,377.0,406.0,,,417.0,427.0,397.0,391.0,
Algeria,,,369.0,383.0,,,,,,,,376.0,,,
Argentina,409.0,399.0,440.0,425.0,402.0,409.0,397.0,404.0,384.0,397.0,404.0,432.0,406.0,401.0,391.0
Australia,504.0,502.0,511.0,509.0,524.0,519.0,527.0,528.0,527.0,527.0,503.0,510.0,521.0,527.0,527.0
Austria,491.0,489.0,504.0,486.0,510.0,501.0,498.0,490.0,515.0,507.0,490.0,495.0,506.0,494.0,511.0
China,596.0,584.0,522.0,513.0,,,,,,,590.0,518.0,,,
Azerbaijan,395.0,400.0,,,,,,,,,398.0,,,,
Belarus,473.0,470.0,,,,,,,,,471.0,,,,
Belgium,501.0,496.0,508.0,496.0,507.0,503.0,510.0,503.0,511.0,510.0,499.0,502.0,505.0,507.0,510.0
Bosnia and Herzegovina,398.0,399.0,,,,,,,,,398.0,,,,
Brazil,403.0,404.0,403.0,399.0,402.0,401.0,407.0,404.0,395.0,386.0,404.0,401.0,402.0,405.0,390.0
Brunei Darussalam,427.0,435.0,,,,,,,,,431.0,,,,
Bulgaria,417.0,432.0,438.0,454.0,437.0,457.0,430.0,450.0,426.0,443.0,424.0,446.0,446.0,439.0,434.0
Canada,516.0,520.0,528.0,527.0,527.0,524.0,531.0,526.0,536.0,532.0,518.0,528.0,525.0,529.0,534.0
Chile,445.0,442.0,454.0,440.0,448.0,442.0,452.0,443.0,448.0,426.0,444.0,447.0,445.0,447.0,438.0
Chinese Taipei,516.0,515.0,535.0,530.0,524.0,523.0,520.0,521.0,536.0,529.0,516.0,532.0,523.0,520.0,532.0
Colombia,420.0,407.0,421.0,411.0,408.0,390.0,413.0,392.0,393.0,384.0,413.0,416.0,399.0,402.0,388.0
Costa Rica,420.0,411.0,429.0,411.0,436.0,424.0,,,,,416.0,420.0,429.0,,
Croatia,470.0,474.0,478.0,473.0,490.0,493.0,482.0,491.0,492.0,494.0,472.0,475.0,491.0,486.0,493.0
Cyprus,429.0,450.0,424.0,441.0,431.0,444.0,,,,,439.0,433.0,438.0,,
Czech Republic,496.0,498.0,497.0,488.0,509.0,508.0,498.0,503.0,515.0,510.0,497.0,493.0,508.0,500.0,513.0
Denmark,492.0,494.0,505.0,499.0,504.0,493.0,505.0,494.0,500.0,491.0,493.0,502.0,498.0,499.0,496.0
Dominican Republic,331.0,340.0,332.0,331.0,,,,,,,336.0,332.0,,,
Estonia,528.0,533.0,536.0,533.0,540.0,543.0,527.0,528.0,530.0,533.0,530.0,534.0,541.0,528.0,531.0
Finland,510.0,534.0,521.0,541.0,537.0,554.0,546.0,562.0,562.0,565.0,522.0,531.0,545.0,554.0,563.0
France,493.0,493.0,496.0,494.0,498.0,500.0,500.0,497.0,497.0,494.0,493.0,495.0,499.0,498.0,495.0
Georgia,376.0,390.0,403.0,420.0,,,,,,,383.0,411.0,,,
Germany,502.0,504.0,514.0,504.0,524.0,524.0,523.0,518.0,519.0,512.0,503.0,509.0,524.0,520.0,516.0
Greece,446.0,457.0,451.0,459.0,460.0,473.0,465.0,475.0,468.0,479.0,452.0,455.0,467.0,470.0,473.0
Hong Kong (China),512.0,521.0,523.0,524.0,558.0,551.0,550.0,548.0,546.0,539.0,517.0,523.0,555.0,549.0,542.0
Hungary,484.0,478.0,478.0,475.0,496.0,493.0,503.0,503.0,507.0,501.0,481.0,477.0,494.0,503.0,504.0
Iceland,471.0,479.0,472.0,475.0,477.0,480.0,496.0,495.0,488.0,494.0,475.0,473.0,478.0,496.0,491.0
Indonesia,393.0,399.0,401.0,405.0,380.0,383.0,378.0,387.0,399.0,387.0,396.0,403.0,382.0,383.0,393.0
Ireland,495.0,497.0,508.0,497.0,524.0,520.0,507.0,509.0,508.0,509.0,496.0,503.0,522.0,508.0,508.0
Israel,452.0,471.0,469.0,464.0,470.0,470.0,453.0,456.0,456.0,452.0,462.0,467.0,470.0,455.0,454.0
Italy,470.0,466.0,489.0,472.0,495.0,492.0,488.0,490.0,477.0,474.0,468.0,481.0,494.0,489.0,475.0
Japan,531.0,528.0,545.0,532.0,552.0,541.0,534.0,545.0,533.0,530.0,529.0,538.0,547.0,539.0,531.0
Jordan,414.0,444.0,389.0,428.0,388.0,430.0,398.0,433.0,408.0,436.0,429.0,409.0,409.0,415.0,422.0
Kazakhstan,394.0,401.0,455.0,458.0,420.0,429.0,396.0,405.0,,,397.0,456.0,425.0,400.0,
